security,ARIMA_MSE_cumulative_return_test,ARIMA_MSE_cumulative_return_xval,ARIMA_MSE_price_test,ARIMA_MSE_price_xval,ARIMA_R2_cumulative_return_test,ARIMA_R2_cumulative_return_xval,ARIMA_R2_price_test,ARIMA_R2_price_xval,ARIMA_best_order_0,ARIMA_best_order_1,ARIMA_best_order_2,ARIMA_pred_cumulative_return_test,ARIMA_pred_cumulative_return_xval,cumulative_return_test,cumulative_return_xval
ADBE,5.436920711246643e-06,1.8652340321207603e-05,0.07542731520658814,0.35337117704344273,0.7433590225832039,0.5434686445115153,0.8042058505951882,0.5146322630900074,0,1,0,0.01040710903324027,0.00876379672460681,0.010678434823354621,0.011311670862548917
ADI,0.001054515755090773,0.0012700391502626788,3.09622304974631,3.4343138482107562,-2.0079379809043756,-3.583276438259116,-0.5452703661758731,-0.9683625082675527,1,1,2,-0.00999770396372901,0.001658943985437089,0.03756619147000517,-0.04839314551715557
ADM,0.0007799975041476144,0.0011745142310257098,6.947209564698794,2.1163649874492196,-5.192833828178949,-0.1096434835746729,-31.321849405830108,0.03757460921571143,1,1,0,-0.004915116488478755,-0.0026435811537615095,0.01742914506344362,-0.08578332225610696
ADNT,0.00388851818669037,0.0015264227942663642,120.89309299244837,8.160221557415781,-69.978300472502,-0.7637433703439378,-447.4226854554847,-0.9155050077131965,0,2,1,0.12694196287415838,0.07240338696332227,0.01268708445653366,-0.021807396134127854
ADP,0.0015886446020075592,0.00039303083933127646,224.23892063139252,6.1362962238401595,-11.574611934055518,-18.93040914795864,-185.67256857599068,-27.218541858920833,2,2,1,0.05870626353329689,0.025346410757311366,-0.010768156891228453,-0.009522902399335287
ADS,0.003050683655954995,0.004290057852836273,2011.1041380914598,320.0957329939359,-24.580643772467063,-11.400728762000602,-260.8829282291626,-12.429751769788682,0,2,1,0.10268970478372674,0.06678092188032925,-0.010477006936319588,-0.027033252855782175
ADSK,4.204362911690877e-05,0.0003250972188644507,1.8586581195330205,3.493972493514161,0.6688267648929968,-0.7793153036181368,-0.6800643695054986,-1.3441817669131666,0,1,2,0.023693160184380613,0.03685686225866336,0.022067552695609116,0.034654528343667
AEE,4.164720016876331e-05,5.5217097568863054e-05,0.24826916089638532,0.1811655214032349,-1.4688457401874877,-0.1975062626802302,-4.002551028519136,-0.2950659119384189,0,0,1,1.9461605682558059e-07,-0.002821854292889947,0.0038716628365904615,-0.015069026322838575
AEG,0.0009562107408676981,0.0016203792447141753,0.036066854065186525,0.031772970426127624,-0.3131544026317772,-25.599358717952406,-0.8459116870630237,-18.28881847117364,0,1,2,0.005221332895431585,0.039834432180087864,-0.042471042471042386,-0.00576923076923086
AEM,0.00012094895055862127,0.002704354629764498,0.311511573929329,3.059404417613219,0.35822678476827374,-0.5067763005846231,0.22793356673843412,0.09750957084000345,0,1,1,0.018047387238891544,0.015295152644666743,0.029176550680786617,0.07777268931828574
